,Product_id,Selling_Price
0,SCHE4YSTDVPVZVXW,3169.6167
1,ACCEGCATKHNRXUHW,1915.0569
2,NKCE6GJ5XVJDXNNZ,11750.765
3,NKCEB8BK3ZXDHDHM,9483.388
4,TOPEFDXSAHRNPF94,5626.888
5,ACCE558KZHEPZYMG,9411.27
6,ACCEAZCVAMFHDPY7,5098.009
7,NKCDYNY37JPBGBVM,2688.9082
8,NKCEY8KWY33FCUYD,7401.6387
9,RNGE4YPTQYRECV9J,4312.922
10,NKCE88AHBHJZREXH,3842.3374
11,CLTEJ5ZZGBP4JGGE,7926.466
12,WATE3NWH5FZWAMDA,8206.454
13,CAGE53FSFZVFPFHQ,1646.8206
14,PCSEAKVBFFPGCHNZ,3664.8987
15,WATDFFH3KJYBTYGG,7353.0566
16,NKCDWHFQSCHHYZMP,2751.0776
17,RNGEB2PG3Q5RKDW6,3168.8152
18,NKCE5UY9HHPZGGUZ,4252.1533
19,KTAEHETW3ZCMFMJR,4075.9973
20,BRAEBBYRVF9MHJHU,7140.7983
21,NKCEAX7HAQ2RJA3Q,10256.105
22,CRTECN2RQZWBSP9W,4998.4487
23,WATDEWZ9UHSEHGZG,9261.227
24,PTPEYW8HNV6G9YYR,2839.4524
25,ACCEAMGZRRYVAHDC,4973.6846
26,SRTEHHXG8MUXTGPA,5979.92
27,SKIE4S4NN4MHYM3Z,4944.2373
28,HMBE7G34YHWPWKYN,7307.8955
29,LLIEGTMFJBD7ZZZM,13778.918
30,ACCEJGH6JVTM4CBH,841.77344
31,ACCDQDYBXJ9HZF37,10184.634
32,RNGE88FRGZCXNKUG,675.11487
33,NKCE7M3QNNPZDXHQ,10063.753
34,VLBEGFFDP9H6WG2T,3534.573
35,TOPEAFG4YEQSH5TT,2490.4856
36,WATEYAP3K2QQQWDH,5284.912
37,PCSEBDFUFJWGARNX,10812.926
38,SWTEGXQFZY95SKG7,4649.2266
39,BRAEGJFXSM9ZQ6SK,6857.7217
40,CAGE6FYKP34GA4GF,7786.661
41,HMBEJCMH78VJF3M8,4190.324
42,HIFEB7J3GSTVN5XJ,10672.843
43,PBXE6ZHNGZREWWHR,4481.382
44,PCSEAKVBNXFGZBKB,6708.1597
